province,region,address,companyName,special,general,contact,담당과,team,officerContact
부산,남구,수영로39번길 23,(주)사마리안129구급대,11,1,010-3842-2129,보건위생과,의료시설팀,051-888-3421
부산,남구,문현동 407-1 ,부산응급환자이송단,5,0,051)636-1339,보건위생과,의료시설팀,051-888-3421
부산,남구, 수영로69번가길 8,주식회사비원이엠에쓰,5,1,051)633-1339,보건위생과,의료시설팀,051-888-3421
부산,서구,보수대로195 2층  3층,(주)부산코스비,11,8,051-553-6119,보건위생과,의료시설팀,051-888-3421
부산,서구,대영로73번길 116  2층,(주)중앙구일일,6,0,051-246-0911,보건위생과,의료시설팀,051-888-3421
대구,남구, 현충로 161-1  3층,(주)골든타임응급환자이송센터,8,1,053-657-8253,보건의료정책과,응급의료팀,053-803-6292
대구,남구,현충로 232  2층,(주)대구브이아이피응급환자이송센터,5,0,053-621-0119,보건의료정책과,응급의료팀,053-803-6292
대구,남구, 앞산순환로 351-27,㈜대구이엠에스,5,0,053-627-9913,보건의료정책과,응급의료팀,053-803-6292
대구,남구,성당로 156(대명동) ,(주)대구응급환자이송센터,6,0,053-624-0129,보건의료정책과,응급의료팀,053-803-6292
대구,달서구,와룡로46  3층,(주)대구911응급환자이송센터,5,0,053-283-0911,보건의료정책과,응급의료팀,053-803-6292
대구,중구, 동성로12길 67  3층,(주)메디칼응급환자이송단,5,0,053-423-0119,보건의료정책과,응급의료팀,053-803-6292
인천,남동구,인주대로 653번길 26,(주)129응급환자이송단,10,0,032-464-9111,보건의료정책과,응급의료팀,032-440-3253
인천,동구,인중로 680,㈜911응급환자이송단,9,0,032-777-3119,보건의료정책과,응급의료팀,032-440-3253
인천,부평구, 경인로1021 ,(주)월드119구급대,6,0,032-504-1339,보건의료정책과,응급의료팀,032-440-3253
인천,서구, 승학로 235번길18  2층,㈜경인응급구조단,6,1,032-563-8911,보건의료정책과,응급의료팀,032-440-3253
인천,서구,면개포로 34,㈜우리119이엠에스,5,0,032-584-7500,보건의료정책과,응급의료팀,032-440-3253
광주,남구, 양림동 24-1  1층,(유)프로응급환자이송센터,6,0,062-681-1190,감염병관리과,의약관리팀,062-613-1192
광주,동구,남문로 600  3층,광주응급환자이송단,5,0,062-223-5129,감염병관리과,의약관리팀,062-613-1192
광주,동구, 화산로 351번길 4,메디칼이송단,5,0,062-234-9575,감염병관리과,의약관리팀,062-613-1192
광주,동구,남문로 693번길20,팀코리아이엠에스(주),5,0,062-223-9110,감염병관리과,의약관리팀,062-613-1192
광주,서구,매월2로 15번길16  101동 213호,(유)한국에스오에스구급센터,5,0,062-367-7777,감염병관리과,의약관리팀,062-613-1192
대전,중구,계룡로 921번길 40 (대사동),(주)129환자이송단,7,0,042-226-6800,감염병관리과,응급의료팀,042-270-4042
울산,남구, 돋질로 139번길 38-1,(주)현대응급이송센타,5,3,052-261-4911,식의약안전과,의약관리담당,052-229-3553
울산,중구,옥교6길 19,㈜중앙응급환자이송단,6,2,052-292-1339,식의약안전과,의약관리담당,052-229-3553
울산,중구, 구교12길 1,울산에스오에스 이송센타,5,2,010-5845-0119,식의약안전과,의약관리담당,052-229-3553
세종,세종시,장군면 장척로 515,(유)충남129환자이송센터,5,1,044-866-0129,세종,보건의료정책담당,044-300-5716
경기,고양시 덕양구,고양시청로27  3층 (주교동),케이쿱3119협동조합,7,0,031-908-9116,보건의료과,응급의료팀,031-8008-4339
경기,고양시 덕양구, 지도로 3  (토당동  하남빌딩2층),(주)우리구급센터,13,6,031-922-2229,보건의료과,응급의료팀,031-8008-4339
경기,고양시 일산동구, 동국로 18,(주)이피티,6,0,031-975-1339,보건의료과,응급의료팀,031-8008-4339
경기,고양시 일산동구,애니골길43번길 66,(주)일산구급센터,7,4,1855-1399,보건의료과,응급의료팀,031-8008-4339
경기,남양주시,경춘로 1308번길 26  2층(평내동),㈜비사벌메디칼,7,0,031-523-8080,보건의료과,응급의료팀,031-8008-4339
경기,남양주시,화도읍 맷돌로 18,프로응급환자이송센터(주),8,1,031-559-0129,보건의료과,응급의료팀,031-8008-4339
경기,동두천시, 평화로 2185번길 23,(주)EMS 보람,5,0,031-866-4119,보건의료과,응급의료팀,031-8008-4339
경기,부천시,장말로 273  5층 (심곡동  유진빌딩),경기구급센터,8,4,032-663-0129,보건의료과,응급의료팀,031-8008-4339
경기,성남시 분당구,대왕판교로 227-0 지하1층  (궁내동  지하1층),㈜코리아모빌케어,5,0,1644-7253,보건의료과,응급의료팀,031-8008-4339
경기,성남시 분당구,새나리로65,주식회사에스오에스,7,1,031-757-6622,보건의료과,응급의료팀,031-8008-4339
경기,성남시 중원구,둔촌대로52번길 3-19,주식회사 이엠에스프로,6,1,031-762-0129,보건의료과,응급의료팀,031-8008-4339
경기,수원시 영통구, 광교 중앙로37번길 28,㈜하나이엠에스,5,0,031-762-0129,보건의료과,응급의료팀,031-8008-4339
경기,수원시 장안구,정자동 68-1,㈜샵911,5,1,031-212-0129,보건의료과,응급의료팀,031-8008-4339
경기,수원시 팔달구,경수대로 617,(주)경기이엠에스,8,4,031-244-1339,보건의료과,응급의료팀,031-8008-4339
경기,시흥시,월곶중앙로 87-1,네오에쓰앤씨(주),5,1,1566-5129,보건의료과,응급의료팀,031-8008-4339
경기,안산시 상록구, 천문로11  2층,(주)이엠에스탑,7,1,0507-1361-0158,보건의료과,응급의료팀,031-8008-4339
경기,안산시 상록구,양지편2길 80,(주)중앙129,5,1,031-410-0129,보건의료과,응급의료팀,031-8008-4339
경기,여주시,능서면 마장로48,(주)케이비이구급센터,6,2,031-883-3129,보건의료과,응급의료팀,031-8008-4339
경기,용인시 기흥구, 신구로 17,주식회사365구급대,5,0,031-286-0365,보건의료과,응급의료팀,031-8008-4339
경기,용인시 처인구, 포곡읍 마성로 419,(주)129한국이엠에스,5,0,031-338-1339,보건의료과,응급의료팀,031-8008-4339
경기,이천시, 부발읍 무촌로 138  3.4층,(주)사마리안,5,0,031-635-0119,보건의료과,응급의료팀,031-8008-4339
경기,평택시, 이충로 13번길 223 1층,㈜중앙이엠에스,5,0,031-666-0129,보건의료과,응급의료팀,031-8008-4339
경기,평택시, 안중읍 대반길22,㈜구일일인명구급대,12,2,031-683-0129,보건의료과,응급의료팀,031-8008-4339
경기,포천시,내촌면 내촌로 53,(주)129구급대,10,5,031-531-0129,보건의료과,응급의료팀,031-8008-4339
경기,포천시,소흘읍 호국로 287번길 11,(주)AMS코리아,5,1,1644-3912,보건의료과,응급의료팀,031-8008-4339
경기,화성시,봉담읍 수기안길4   2층,㈜앰불콜 사설구급이송,5,0,0507-1445-3427,보건의료과,응급의료팀,031-8008-4339
강원,원주시,남원로 631,(주)한국1339,5,2,033-745-1339,공공의료과,응급의료팀,033-249-2923
강원,춘천시, 동광길 17  2층(후평동),(주)바른인명구조단,15,2,033-253-0129,공공의료과,응급의료팀,033-249-2923
강원,태백시,편들길 41,(주)강원129이송단,7,1,033-553-9129,공공의료과,응급의료팀,033-249-2923
강원,홍천군,홍천읍 무궁화로 9,(주)129구급대,13,6,033-434-3119,공공의료과,응급의료팀,033-249-2923
충북,청주시 서원구,청남로1887번길9,(주)충북응급환자이송단,6,0,043-222-1129,보건정책과,의료관리팀,043-220-3143
충북,청주시 흥덕구,월명로 212 가동 C-102호,(주)국제응급환자이송센터,6,3,043-272-0129,보건정책과,의료관리팀,043-220-3143
충북,청주시 흥덕구,1 순환로577번길 3. 2층 204호,충청구급이송센터,5,2,043-264-0129,보건정책과,의료관리팀,043-220-3143
충북,충주시,중앙로25,(주)응급일이구,5,0,043-853-1129,보건정책과,의료관리팀,043-220-3143
충북,충주시, 관아2길 22 ,중앙응급환자이송단,6,5,043-857-1129,보건정책과,의료관리팀,043-220-3143
충남,보령시, 청소면 청소큰길 154,(주)충남구급이송센터,5,0,041-642-1129,보건정책과,응급의약팀,041-635-2644
충남,예산군,오가면 신석길159 우성아파트상가 201호,(주)충남129환자이송센터,6,3,041-331-1129,보건정책과,응급의약팀,041-635-2644
충남,천안시 동남구, 망향로 171 (안서동),(주)충청응급환자이송단,10,1,041-568-0129,보건정책과,응급의약팀,041-635-2644
충남,천안시 동남구, 망향로 48-2  2층,129응급환자이송단,6,1,041-552-1129,보건정책과,응급의약팀,041-635-2644
충남,천안시 서북구,두정상가6길 23 (두정동),(주)하나구급센터,8,0,041-622-2119,보건정책과,응급의약팀,041-635-2644
충남,홍성군,홍성읍 내포로 239,129이엠에스응급센터,5,0,041-633-9110,보건정책과,응급의약팀,041-635-2644
전북,김제시,도작8길 76-17 ,서해응급이송SOS,7,0,063-544-1339,보건의료과,의약응급의료팀,063-280-4684
전북,익산시,익산대로76길 33-3,(유)전북응급이송이엠에스,10,0,063-851-1339,보건의료과,의약응급의료팀,063-280-4684
전북,전주시 덕진구,전주천동로 408  3층,(주)국민이엠에스,5,0,063-272-3230,보건의료과,의약응급의료팀,063-280-4684
전북,전주시 덕진구,태진로 134,하나구급센터,5,0,063-275-1339,보건의료과,의약응급의료팀,063-280-4684
전북,정읍시,충정로 330,(유)베스트응급환자이송센터,5,0,063-534-0129,보건의료과,의약응급의료팀,063-280-4684
전남,강진군,강진읍 보은로안길 18-1,(유)남도응급환자이송단,5,0,061-434-0129,식품의약과,의료관리팀,061-286-5893
전남,목포시,영산로 355-1 (용해동),대한구조단,5,0,061-245-0129,식품의약과,의료관리팀,061-286-5893
전남,목포시,용당로 153-2  3층 (용당동),(유)한국911구급센터,8,0,1644-9139,식품의약과,의료관리팀,061-286-5893
전남,보성군,벌교읍 채동선로140,전남EMS,9,0,061-862-0129,식품의약과,의료관리팀,061-286-5893
전남,순천시,동신흥 4길 7,(유)129이송센터,5,0,061-741-0129,식품의약과,의료관리팀,061-286-5893
전남,순천시,남산로162  2층,(주)다온구일일구급센터,7,0,061-721-1339,식품의약과,의료관리팀,061-286-5893
전남,영광군,영광읍 신남로217  2층,중앙911,6,1,061-353-9585,식품의약과,의료관리팀,061-286-5893
전남,화순군, 화순읍 칠충로 56   2층,제일이송단,5,0,061-374-9575,식품의약과,의료관리팀,061-286-5893
경북,경산시,계양로 16길 79 (사동 2층),(주)경북네오메딕,11,4,1566-5129,감염병관리과,공공의료지원팀,054-880-3875
경북,경산시,장산로 23길 9  2층 (삼북동),(주)경북이엠에스,9,1,053-814-0129,감염병관리과,공공의료지원팀,054-880-3875
경북,경주시,초당길 39-12 ,(주)신라응급,7,1,054-744-1339,감염병관리과,공공의료지원팀,054-880-3875
경북,구미시, 형곡동 211  2층 ,(주)경북골든타임,5,1,054-455-1119,감염병관리과,공공의료지원팀,054-880-3875
경북,문경시, 모전로 64-1  2층,㈜가디언911,5,0,054-554-0911,감염병관리과,공공의료지원팀,054-880-3875
경북,문경시,신흥로 134  2층,(주)메디컬천사,6,0,054-554-1290,감염병관리과,공공의료지원팀,054-880-3875
경북,안동시, 강남로154 (2층),(주)경북이송,7,0,054-823-1339,감염병관리과,공공의료지원팀,054-880-3875
경북,안동시,전거리1길 2(용상동),(주)경북코스비,6,0,054-821-1199,감염병관리과,공공의료지원팀,054-880-3875
경북,영덕군,영덕읍 영덕로447,(주)대한이송센터,5,1,054-732-0094,감염병관리과,공공의료지원팀,054-880-3875
경북,포항시 남구,남구 문예로 79  3층,(주)경북세이브타임,5,1,054-283-1339,감염병관리과,공공의료지원팀,054-880-3875
경북,포항시 남구, 대이로 59번길 5  301호,(주)구급대장,5,0,054-286-0123,감염병관리과,공공의료지원팀,054-880-3875
경남,거창군, 거창읍 대평4길 10  1층,(주)구오구오응급구조단,5,0,055-941-9595,식품의약과,응급의료담당,055-211-5055
경남,김해시, 금관대로 1271,(주)한국응급이송단,5,0,055-327-0911,식품의약과,응급의료담당,055-211-5055
경남,김해시, 가야로 157번길 22-8,비원이엠에쓰(주),7,0,055-331-3117,식품의약과,응급의료담당,055-211-5055
경남,거제시,옥포대첩로 17,주식회사제일응급,5,0,055-688-0129,식품의약과,응급의료담당,055-211-5055
경남,창원시 마산합포구, 해안대로 412,(주)경남응급이송단,7,2,055-246-1339,식품의약과,응급의료담당,055-211-5055
경남,창원시 마산합포구, 양덕2길73  3층,(주)EMS,5,0,055-252-3119,식품의약과,응급의료담당,055-211-5055
경남,창원시 마산회원구,양덕로 54,㈜중앙구일일구급대,11,0,055-237-9195,식품의약과,응급의료담당,055-211-5055
경남,창원시 의창구,의창대로116번길 20,주식회사하트세이버,13,0,055-744-2119,식품의약과,응급의료담당,055-211-5055
경남,통영시, 광도면 호암2길 98,(주)한국에스오에스구급대,5,2,055-649-2339,식품의약과,응급의료담당,055-211-5055
제주,제주시,한북로 270 (오등동),(주)프로텍션메드제주,5,0,064-755-1339,보건건강위생과,의료수급관리팀,064-710-2333
