번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
55,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 두무진로 362-69,인천광역시 옹진군 백령면 연화리 산 242-3,생활방범,1,200,360도전방면,30,2012-12,032-899-2040,37.96653688,124.6300736,2021-10-20
56,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령남로72번길 506-17,인천광역시 옹진군 백령면 진촌리 산 280,생활방범,1,200,360도전방면,30,2010-01,032-899-2040,37.95144313,124.6936336,2021-10-20
57,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 사곶로 139,인천광역시 옹진군 백령면 진촌리 457-1,생활방범,4,200,360도전방면,30,2010-01,032-899-2040,37.95175115,124.7197742,2021-10-20
58,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로 2,인천광역시 옹진군 백령면 진촌리 413-28,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.95140193,124.7311515,2021-10-20
59,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로271번길 20,인천광역시 옹진군 백령면 진촌리 700-2,생활방범,1,200,360도전방면,30,2010-01,032-899-2040,37.97086175,124.7168071,2021-10-20
60,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로 260,인천광역시 옹진군 백령면 진촌리 689-4,생활방범,5,200,360도전방면,30,2010-01,032-899-2040,37.97038803,124.7196892,2021-10-20
61,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로 317-4,인천광역시 옹진군 백령면 진촌리 1118-2,생활방범,1,200,360도전방면,30,2012-12,032-899-2040,37.97253655,124.7136237,2021-10-20
62,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 가을길 4,인천광역시 옹진군 백령면 가을리 46,생활방범,1,200,360도전방면,30,2012-12,032-899-2040,37.9561661,124.6598668,2021-10-20
63,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 두무진로 550-20,인천광역시 옹진군 백령면 연화리 1026-14,생활방범,1,130,360도전방면,30,2010-01,032-899-2040,37.97427172,124.620048,2021-10-20
64,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령남로 828,인천광역시 옹진군 백령면 남포리 1490-3,생활방범,1,200,360도전방면,30,2012-12,032-899-2040,37.92790217,124.661946,2021-10-20
65,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령남로 458,인천광역시 옹진군 백령면 남포리 1799,생활방범,1,130,360도전방면,30,2012-12,032-899-2040,37.9391955,124.6996579,2021-10-20
66,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로 42-3,인천광역시 옹진군 백령면 진촌리 413-62,생활방범,1,130,360도전방면,30,2012-12,032-899-2040,37.95467139,124.7308553,2021-10-20
67,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로 68-81,인천광역시 옹진군 백령면 진촌리 2618,생활방범,5,130,360도전방면,30,2013-06,032-899-2040,37.95613849,124.7350012,2021-10-20
68,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 두무진로 550-13,인천광역시 옹진군 백령면 연화리 1048-81,생활방범,4,130,360도전방면,30,2013-06,032-899-2040,37.97423916,124.6195074,2021-10-20
69,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로280번길 55,인천광역시 옹진군 백령면 진촌리 1080,생활방범,1,200,360도전방면,30,2013-01,032-899-2040,37.97344271,124.7161263,2021-10-20
70,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로 280,인천광역시 옹진군 백령면 진촌리 703-29,생활방범,4,130,360도전방면,30,2014-06,032-899-2040,37.9714963,124.7177569,2021-10-20
71,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 가을길 142-21,인천광역시 옹진군 백령면 가을리 34,생활방범,1,130,360도전방면,30,2014-01,032-899-2040,37.95665882,124.6603653,2021-10-20
72,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로 40,인천광역시 옹진군 백령면 진촌리 413-45,생활방범,1,200,360도전방면,30,2015-06,032-899-2040,37.95449881,124.7305011,2021-10-20
73,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로380번길 385-3,인천광역시 옹진군 백령면 진촌리 1797-2,생활방범,1,200,360도전방면,30,2016-05,032-899-2040,37.97816817,124.6933387,2021-10-20
74,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령남로 726,인천광역시 옹진군 백령면 남포리 1174-3,생활방범,1,200,360도전방면,30,2016-05,032-899-2040,37.92953896,124.6734437,2021-10-20
75,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령남로 458,인천광역시 옹진군 백령면 남포리 1799,생활방범,1,200,360도전방면,30,2017-12,032-899-2040,37.9391955,124.6996579,2021-10-20
76,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 사곶로 10-15,인천광역시 옹진군 백령면 진촌리 2463-10,생활방범,1,200,360도전방면,30,2017-12,032-899-2040,37.95684213,124.7281446,2021-10-20
77,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로 503-13,인천광역시 옹진군 백령면 진촌리 2120-5,생활방범,2,200,360도전방면,30,2018-04,032-899-2040,37.97343772,124.6933549,2021-10-20
78,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 사곶로177번길 5,인천광역시 옹진군 백령면 진촌리 1314-2,생활방범,2,200,360도전방면,30,2018-04,032-899-2040,37.95334098,124.7151793,2021-10-20
79,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로 1090,인천광역시 옹진군 백령면 연화리 496,생활방범,2,200,360도전방면,30,2018-04,032-899-2040,37.94775304,124.6432671,2021-10-20
80,인천광역시 옹진군 재난안전담당관,,인천광역시 옹진군 백령면 북포리 390-2,생활방범,1,200,360도전방면,30,2020-11,032-899-2040,37.95940029,124.6660575,2021-10-20
81,인천광역시 옹진군 재난안전담당관,,인천광역시 옹진군 북포리 656,생활방범,1,200,360도전방면,30,2020-11,032-899-2040,37.96044181,124.6640878,2021-10-20
82,인천광역시 옹진군 재난안전담당관,,인천광역시 옹진군 진촌리 654-10,생활방범,1,200,360도전방면,30,2020-11,032-899-2040,37.96816703,124.7234527,2021-10-20
83,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 대청북로 55-1,인천광역시 옹진군 대청면 대청리 469-16,생활방범,1,200,360도전방면,30,2010-01,032-899-2040,37.83962663,124.7071397,2021-10-20
84,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 대청남로 3,인천광역시 옹진군 대청면 대청리 377-21,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.82467889,124.716115,2021-10-20
85,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 소청동로 7,인천광역시 옹진군 대청면 소청리 423-2,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.77542537,124.7474194,2021-10-20
86,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 대청로 15-2,인천광역시 옹진군 대청면 대청리 408,생활방범,1,130,360도전방면,30,2012-12,032-899-2040,37.82557419,124.7143476,2021-10-20
87,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 대청로 196,인천광역시 옹진군 대청면 대청리 451-1,생활방범,1,130,360도전방면,30,2012-12,032-899-2040,37.83521747,124.7062676,2021-10-20
88,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 대청로244번길 110,인천광역시 옹진군 대청면 대청리 1083,생활방범,1,130,360도전방면,30,2013-01,032-899-2040,37.8326014,124.6968449,2021-10-20
89,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 대청로 2,인천광역시 옹진군 대청면 대청리 377-32,생활방범,1,130,360도전방면,30,2013-01,032-899-2040,37.82801942,124.7174383,2021-10-20
90,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 대청로 235,인천광역시 옹진군 대청면 대청리 794,생활방범,1,130,360도전방면,30,2014-06,032-899-2040,37.8327347,124.7025603,2021-10-20
91,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 대청남로 72,인천광역시 옹진군 대청면 대청리 291,생활방범,1,200,360도전방면,30,2015-06,032-899-2040,37.82016038,124.7122072,2021-10-20
92,인천광역시 옹진군 재난안전담당관,,인천광역시 옹진군 대청면 대청리 산20-4,생활방범,1,200,360도전방면,30,2016-05,032-899-2040,37.839208,124.704717,2021-10-20
93,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 대청로 30,인천광역시 옹진군 대청면 대청리 377-24,생활방범,2,200,360도전방면,30,2018-04,032-899-2040,37.82677658,124.7146648,2021-10-20
94,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청면 대청로 46,인천광역시 옹진군 대청면 대청리 377-29,생활방범,2,200,360도전방면,30,2018-04,032-899-2040,37.82803399,124.7142898,2021-10-20
95,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 대청로 244번 길 116-28,인천광역시 옹진군 대청면 대청리 1136,생활방범,1,200,360도전방면,30,2020-11,032-899-2040,37.83261714,124.6981606,2021-10-20
96,인천광역시 옹진군 재난안전담당관,,인천광역시 옹진군 대청면 대청리 산72-2,생활방범,1,200,360도전방면,30,2020-11,032-899-2040,37.82794336,124.7146288,2021-10-20
97,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적북로 28,인천광역시 옹진군 덕적면 진리 83,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.22780331,126.1548447,2021-10-20
98,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 소야로 2,인천광역시 옹진군 덕적면 소야리 산 56,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.223998,126.1605028,2021-10-20
99,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적북로 6,인천광역시 옹진군 덕적면 진리 6-9,생활방범,1,200,360도전방면,30,2010-01,032-899-2040,37.22853469,126.157338,2021-10-20
100,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적남로 589,인천광역시 옹진군 덕적면 서포리 산 134-7,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.22286661,126.1150007,2021-10-20
101,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적북로 725,인천광역시 옹진군 덕적면 북리 490-3,생활방범,1,130,360도전방면,30,2012-12,032-899-2040,37.26392157,126.1026927,2021-10-20
102,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적남로 623,인천광역시 옹진군 덕적면 서포리 540-43,생활방범,1,130,360도전방면,30,2013-07,032-899-2040,37.22451919,126.1157386,2021-10-20
103,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적남로587번길 108,인천광역시 옹진군 덕적면 서포리 572,생활방범,1,200,360도전방면,30,2016-12,032-899-2040,37.22305403,126.109712,2021-10-20
104,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적북로133번길 77,인천광역시 옹진군 덕적면 진리 399-6,생활방범,1,200,360도전방면,30,2015-06,032-899-2040,37.22440528,126.1443905,2021-10-20
105,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적남로 523,인천광역시 옹진군 덕적면 서포리 산 31,생활방범,1,200,360도전방면,30,2015-10,032-899-2040,37.21687567,126.1177701,2021-10-20
106,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적북로518번길 49,인천광역시 옹진군 덕적면 북리 155-1,생활방범,1,200,360도전방면,30,2015-10,032-899-2040,37.2521622,126.1181298,2021-10-20
107,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적남로771번길 289,인천광역시 옹진군 덕적면 서포리 산 434,생활방범,1,200,360도전방면,30,2018-09,032-899-2040,37.23070211,126.095947,2021-10-20
108,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 덕적남로 209-1,인천광역시 옹진군 덕적면 진리 581,생활방범,1,200,360도전방면,30,2018-09,032-899-2040,37.21527232,126.1393879,2021-10-20
109,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 덕적면 소야로 257-1,인천광역시 옹진군 덕적면 소야리 196-12,생활방범,3,200,360도전방면,30,2020-06,032-899-2040,37.21304572,126.1806528,2021-10-20
110,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 자월동로 3,인천광역시 옹진군 자월면 자월리 306-6,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.24482221,126.3187479,2021-10-20
111,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 대이작로 4,인천광역시 옹진군 자월면 이작리 760-3,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.17825758,126.2478549,2021-10-20
112,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 소이작로 11,인천광역시 옹진군 자월면 이작리 44-2,생활방범,1,200,360도전방면,30,2010-01,032-899-2040,37.18165652,126.2416727,2021-10-20
113,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 승봉로 19,인천광역시 옹진군 자월면 승봉리 824-6,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.17001619,126.2919337,2021-10-20
114,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 자월서로 120,인천광역시 옹진군 자월면 자월리 1067-3,생활방범,1,130,360도전방면,30,2012-12,032-899-2040,37.25132764,126.310655,2021-10-20
115,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 자월서로 177,인천광역시 옹진군 자월면 자월리 1116-2,생활방범,1,130,360도전방면,30,2013-06,032-899-2040,37.25303412,126.3066313,2021-10-20
116,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 자월서로 98,인천광역시 옹진군 자월면 자월리 1086,생활방범,1,130,360도전방면,30,2014-06,032-899-2040,37.25041135,126.3129898,2021-10-20
117,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 자월동로 3,인천광역시 옹진군 자월면 자월리 306-6,생활방범,1,200,360도전방면,30,2015-07,032-899-2040,37.24482221,126.3187479,2021-10-20
118,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 소이작로42번길 5-2,인천광역시 옹진군 자월면 이작리 63,생활방범,4,200,360도전방면,30,2019-08,032-899-2040,37.18156795,126.2391015,2021-10-20
119,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 자월서로 211-8,인천광역시 옹진군 자월면 자월리 1170,생활방범,3,200,360도전방면,30,2020-06,032-899-2040,37.25366976,126.3018236,2021-10-20
120,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 자월면 이작로 307번길1,인천광역시 옹진군 자월면 이작리 806,생활방범,3,200,360도전방면,30,2020-11,032-899-2040,37.17703754,126.254343,2021-10-20
